500
700
Degree,Service_Time,Time
1,100,783
1,353,1869
1,267,2846
1,289,3161
1,266,3954
1,369,5289
1,410,6075
1,459,6767
1,394,7216
1,404,8437
1,402,8999
1,384,9626
1,383,10116
1,427,11175
1,443,11938
1,424,13264
1,445,14004
1,404,15230
1,390,16202
1,395,16538
1,406,16749
1,393,17917
1,397,18684
1,398,19313
1,476,19695
1,411,21025
1,398,21287
1,398,22610
1,398,22877
1,397,24212
1,398,24741
1,397,25943
1,398,26965
1,398,27423
1,398,27892
1,399,28659
1,398,29052
1,397,30108
1,231,30519
1,398,31161
1,423,32390
1,398,33163
1,397,33384
1,397,33703
1,397,34487
1,231,35624
1,416,36222
1,464,37546
1,397,38861
1,398,40231
1,398,40844
1,399,42170
1,397,42461
1,398,43641
1,230,44197
1,397,44670
1,398,44932
1,401,45902
1,398,46298
1,398,46979
1,397,47884
1,398,48609
1,397,49093
1,398,49620
1,398,50956
1,400,52061
1,398,52307
1,282,52636
1,398,53749
1,460,54206
1,398,55330
1,398,56625
1,408,58007
1,398,59152
1,398,59366
1,398,60133
1,398,61367
1,401,62331
1,403,63374
1,397,64524
1,398,65811
1,434,66419
1,231,67495
1,398,68873
1,398,69261
1,397,69845
1,398,70648
1,451,71099
1,397,72453
1,398,73452
1,398,74384
1,397,75244
1,400,75920
1,401,76288
1,401,76627
1,438,77239
1,401,77665
1,445,78051
1,401,79145
1,414,80484
1,400,81479
1,405,82649
1,453,83883
1,397,84861
1,397,86128
1,420,86529
1,400,87226
1,398,88328
1,231,88645
1,398,89337
1,398,90189
1,397,90745
1,398,91846
1,398,92726
1,473,93612
1,398,94053
1,398,95318
1,398,95607
1,398,96651
1,398,97870
1,398,98110
1,306,99039
1,467,100070
1,477,100787
1,410,101884
1,398,103055
1,443,103336
1,397,103811
1,398,104320
1,468,104647
1,398,105414
1,398,105870
1,422,107167
1,401,108120
1,398,108506
1,398,109671
1,493,109977
1,398,110860
1,398,112079
1,400,112503
1,421,113031
1,397,113702
1,409,114834
1,399,115063
1,398,115566
1,400,116185
1,401,116655
1,401,117023
1,401,117731
1,397,119046
1,399,119586
1,402,120335
1,475,121531
1,401,122054
1,400,122472
1,400,123717
1,417,124363
1,401,125214
1,401,125535
1,100,126490
1,100,127469
1,100,128357
1,100,128721
2,597,129949
1,327,130390
1,482,130940
1,485,131933
1,458,132833
1,485,134067
1,484,135231
1,482,136355
1,484,137069
1,448,137856
1,339,138712
2,582,139455
1,302,140546
2,578,140973
1,297,142338
2,581,143597
1,297,144533
2,576,144965
1,301,145716
2,578,146353
1,297,146581
2,580,147656
1,297,148863
2,581,150137
1,299,150458
2,575,151116
1,300,152511
2,535,152740
1,298,152977
2,580,154212
1,297,154605
2,579,155023
1,297,155651
2,583,156394
1,301,157605
2,581,158933
1,299,159862
2,575,160838
1,299,161042
2,556,161285
1,299,161648
2,579,162861
1,303,163999
2,552,164405
1,298,164645
2,586,165749
1,297,166367
2,586,167695
1,299,168183
2,575,169352
1,301,170269
2,575,170786
1,297,171982
2,576,172706
1,297,173449
2,575,173919
1,315,175102
2,580,176192
1,316,176691
2,571,177063
1,298,177988
2,582,179032
1,297,179622
2,581,180127
1,297,180866
2,581,181620
1,301,182406
2,562,182675
1,297,183357
2,580,184499
1,297,185163
2,578,186360
1,299,187667
2,575,188422
1,309,188626
2,585,189974
1,298,190785
2,586,191407
1,297,191835
2,583,192934
1,297,193677
2,586,194823
1,340,195391
2,585,195931
1,300,196753
2,524,197864
1,298,198674
2,581,199279
1,299,200080
2,570,200341
1,301,201471
2,556,202149
1,297,203254
2,569,203574
1,297,204910
2,573,205354
1,300,206580
2,580,207302
1,301,208167
2,575,208675
1,297,209491
2,578,209973
1,297,210631
2,577,211355
1,299,212392
2,575,213054
1,301,214078
2,562,214878
1,298,215114
2,577,216366
1,298,216865
2,576,217644
1,297,218994
2,586,219862
1,321,220133
2,563,220906
1,298,221837
2,576,222718
1,299,223048
2,570,223381
1,299,224675
2,575,225935
1,300,227098
2,561,228097
1,298,229478
2,574,230577
1,297,230973
2,575,231332
1,251,232105
2,584,232318
1,263,232986
2,579,234376
1,297,234871
2,579,235997
1,297,237063
2,573,237547
1,299,238287
2,578,238977
1,300,240061
2,561,240837
1,298,241379
2,573,241915
1,299,242422
2,576,243267
1,297,243623
2,579,244202
1,314,244420
2,576,245507
1,299,245919
2,572,246267
1,300,246639
2,577,247298
1,299,247507
2,575,248843
1,301,249453
2,574,249995
1,297,251382
2,579,252188
1,297,252889
2,579,254002
1,299,255174
2,571,255495
1,301,255750
2,575,256369
1,415,256768
