100
120
Degree,Service_Time,Time
4,100,200
4,401,400
4,100,600
4,401,800
4,348,1000
4,100,1200
4,100,1400
4,100,1600
4,401,1800
4,100,2000
4,401,2200
4,598,2400
5,399,2600
5,325,2800
5,399,3000
5,718,3200
5,80,3400
5,80,3600
5,80,3800
5,80,4000
5,96,4200
6,408,4400
5,80,4600
5,80,4800
5,342,5000
5,80,5200
4,100,5400
4,100,5600
4,100,5800
4,100,6000
4,100,6200
4,100,6400
4,100,6600
4,100,6800
4,100,7000
4,101,7200
4,100,7400
4,100,7600
4,100,7800
4,100,8000
4,100,8200
4,100,8400
4,100,8600
4,100,8800
4,554,9000
4,100,9200
4,100,9400
4,100,9600
4,100,9800
4,100,10000
4,100,10200
4,100,10400
4,100,10600
4,100,10800
4,100,11000
4,100,11200
4,100,11400
4,1596,11600
4,1522,11800
4,100,12000
4,100,12200
4,100,12400
4,100,12600
4,100,12800
4,100,13000
4,100,13200
4,100,13400
4,101,13600
4,101,13800
4,100,14000
4,101,14200
4,100,14400
4,101,14600
4,100,14800
4,100,15000
4,100,15200
4,100,15400
4,524,15600
4,100,15800
4,100,16000
4,100,16200
4,100,16400
4,100,16600
4,100,16800
4,100,17000
4,100,17200
4,100,17400
4,100,17600
4,100,17800
4,100,18000
4,100,18200
4,100,18400
4,100,18600
4,100,18800
4,100,19000
4,100,19200
4,100,19400
4,100,19600
4,100,19800
4,597,20000
4,1096,20200
4,100,20400
5,399,20600
5,715,20800
5,104,21000
5,80,21200
5,80,21400
5,80,21600
5,80,21800
5,80,22000
5,80,22200
4,100,22400
4,112,22600
4,112,22800
4,100,23000
4,100,23200
4,100,23400
4,125,23600
4,112,23800
4,100,24000
4,112,24200
4,100,24400
4,100,24600
4,100,24800
4,100,25000
4,100,25200
4,100,25400
4,100,25600
4,112,25800
4,112,26000
4,112,26200
4,112,26400
4,112,26600
4,112,26800
4,113,27000
4,112,27200
4,112,27400
4,100,27600
4,112,27800
4,112,28000
4,100,28200
4,125,28400
4,100,28600
4,1094,28800
4,112,29000
4,113,29200
4,472,29400
4,112,29600
4,100,29800
5,326,30000
5,80,30200
5,80,30400
5,88,30600
5,88,30800
4,100,31000
4,103,31200
4,103,31400
4,103,31600
4,81,31800
4,62,32000
3,78,32200
3,55,32400
3,50,32600
2,69,32800
2,69,33000
2,69,33200
1,138,33400
1,138,33600
1,138,33800
1,138,34000
1,138,34200
1,101,34400
1,101,34600
1,101,34800
1,101,35000
1,101,35200
1,101,35400
1,101,35600
1,101,35800
1,101,36000
1,101,36200
1,101,36400
1,101,36600
1,101,36800
1,101,37000
1,101,37200
1,101,37400
1,101,37600
1,101,37800
1,101,38000
1,3594,38200
1,101,38400
1,101,38600
1,101,38800
1,101,39000
1,101,39200
1,101,39400
1,101,39600
1,101,39800
1,101,40000
1,101,40200
1,101,40400
1,101,40600
1,101,40800
1,101,41000
1,101,41200
1,101,41400
1,101,41600
1,101,41800
1,101,42000
1,101,42200
1,101,42400
1,101,42600
1,101,42800
1,101,43000
1,101,43200
1,101,43400
1,101,43600
1,101,43800
1,101,44000
1,101,44200
1,101,44400
1,101,44600
1,101,44800
1,101,45000
1,101,45200
1,101,45400
1,101,45600
1,101,45800
1,101,46000
1,101,46200
1,101,46400
1,101,46600
1,101,46800
1,101,47000
1,101,47200
1,101,47400
1,3598,47600
1,101,47800
1,101,48000
1,101,48200
1,101,48400
1,101,48600
1,101,48800
1,101,49000
1,101,49200
1,101,49400
1,101,49600
1,101,49800
1,101,50000
1,101,50200
1,101,50400
1,101,50600
1,101,50800
1,101,51000
1,101,51200
1,101,51400
1,101,51600
1,101,51800
1,101,52000
1,101,52200
1,101,52400
1,101,52600
1,101,52800
1,101,53000
1,101,53200
1,101,53400
1,101,53600
1,101,53800
1,101,54000
1,101,54200
1,101,54400
1,101,54600
1,101,54800
1,101,55000
1,101,55200
1,101,55400
1,101,55600
1,101,55800
1,101,56000
1,101,56200
1,101,56400
1,3594,56600
1,101,56800
1,101,57000
1,101,57200
1,101,57400
1,101,57600
1,101,57800
1,101,58000
1,101,58200
1,101,58400
1,101,58600
1,101,58800
1,101,59000
1,101,59200
1,101,59400
1,101,59600
1,188,59800
1,188,60000
1,188,60200
1,188,60400
1,188,60600
1,188,60800
1,188,61000
1,188,61200
1,188,61400
1,189,61600
1,276,61800
1,276,62000
1,276,62200
1,363,62400
1,451,62600
2,225,62800
2,225,63000
2,225,63200
2,271,63400
3,215,63600
3,241,63800
4,178,64000
4,178,64200
5,146,64400
5,146,64600
6,133,64800
6,133,65000
6,133,65200
7,114,65400
7,114,65600
7,440,65800
7,114,66000
7,114,66200
7,114,66400
7,139,66600
8,100,66800
8,100,67000
8,100,67200
8,100,67400
8,100,67600
8,100,67800
8,100,68000
8,100,68200
8,100,68400
8,100,68600
8,100,68800
8,100,69000
8,100,69200
8,100,69400
8,100,69600
8,100,69800
8,100,70000
8,100,70200
8,100,70400
8,100,70600
8,100,70800
8,100,71000
8,100,71200
8,100,71400
8,100,71600
8,100,71800
8,100,72000
8,100,72200
8,100,72400
8,100,72600
8,100,72800
8,100,73000
8,100,73200
8,100,73400
8,100,73600
8,100,73800
8,100,74000
8,100,74200
8,100,74400
8,100,74600
8,100,74800
8,100,75000
8,100,75200
8,100,75400
8,100,75600
8,100,75800
8,100,76000
8,100,76200
8,100,76400
8,100,76600
8,100,76800
8,100,77000
8,100,77200
8,100,77400
8,100,77600
8,100,77800
8,100,78000
8,100,78200
8,100,78400
8,100,78600
8,100,78800
8,100,79000
8,100,79200
8,100,79400
8,100,79600
8,100,79800
8,100,80000
8,100,80200
8,100,80400
8,100,80600
8,100,80800
8,100,81000
8,100,81200
8,100,81400
8,100,81600
8,100,81800
8,100,82000
8,100,82200
8,100,82400
8,100,82600
8,100,82800
8,100,83000
8,100,83200
8,100,83400
8,100,83600
8,100,83800
8,100,84000
8,100,84200
8,100,84400
8,100,84600
8,100,84800
8,100,85000
8,100,85200
8,100,85400
8,100,85600
8,100,85800
8,100,86000
8,100,86200
8,100,86400
8,100,86600
8,100,86800
8,100,87000
8,100,87200
8,100,87400
8,100,87600
8,100,87800
8,100,88000
8,100,88200
8,100,88400
8,100,88600
8,100,88800
8,100,89000
8,100,89200
8,100,89400
8,100,89600
8,100,89800
8,100,90000
8,100,90200
8,100,90400
8,100,90600
8,100,90800
8,100,91000
8,100,91200
8,111,91400
8,100,91600
8,100,91800
8,100,92000
8,100,92200
8,100,92400
8,100,92600
8,100,92800
8,100,93000
8,100,93200
8,100,93400
8,100,93600
8,100,93800
8,100,94000
8,100,94200
8,100,94400
8,100,94600
8,100,94800
8,100,95000
8,100,95200
8,100,95400
8,100,95600
8,100,95800
8,100,96000
8,100,96200
8,100,96400
8,100,96600
8,102,96800
8,101,97000
8,112,97200
8,100,97400
8,100,97600
8,100,97800
8,100,98000
8,100,98200
8,100,98400
8,100,98600
8,100,98800
8,100,99000
8,100,99200
8,100,99400
8,100,99600
8,100,99800
8,100,100000
