1
1
Degree,Service_Time,Time
4,410,200
4,98,400
4,98,600
4,99,800
4,98,1000
4,99,1200
4,99,1400
4,98,1600
4,100,1800
4,100,2000
4,101,2200
4,101,2400
4,100,2600
4,100,2800
4,101,3000
4,100,3200
4,102,3400
4,100,3600
4,101,3800
4,100,4000
4,99,4200
4,102,4400
4,100,4600
4,100,4800
4,100,5000
4,99,5200
4,100,5400
4,101,5600
4,100,5800
4,101,6000
4,101,6200
4,100,6400
4,101,6600
4,102,6800
4,101,7000
4,101,7200
4,100,7400
4,100,7600
4,101,7800
4,100,8000
4,102,8200
4,101,8400
4,100,8600
4,101,8800
4,101,9000
4,101,9200
4,100,9400
4,100,9600
4,101,9800
4,100,10000
4,100,10200
4,100,10400
4,101,10600
4,102,10800
4,100,11000
4,100,11200
4,102,11400
4,101,11600
4,101,11800
4,100,12000
4,100,12200
4,100,12400
4,100,12600
4,100,12800
4,101,13000
4,101,13200
4,100,13400
4,100,13600
4,100,13800
4,100,14000
4,100,14200
4,101,14400
4,100,14600
4,100,14800
4,100,15000
4,100,15200
4,100,15400
4,101,15600
4,99,15800
4,101,16000
4,104,16200
4,104,16400
4,103,16600
4,102,16800
4,104,17000
4,103,17200
4,104,17400
4,103,17600
4,103,17800
4,410,18000
4,103,18200
4,105,18400
4,105,18600
4,103,18800
4,103,19000
4,103,19200
4,103,19400
4,105,19600
4,103,19800
4,103,20000
4,135,20200
4,134,20400
4,134,20600
4,136,20800
4,133,21000
4,136,21200
4,136,21400
4,136,21600
4,133,21800
4,137,22000
4,133,22200
4,133,22400
4,134,22600
4,134,22800
4,133,23000
4,135,23200
4,135,23400
4,134,23600
4,135,23800
4,133,24000
4,135,24200
4,103,24400
4,103,24600
4,104,24800
4,104,25000
4,105,25200
4,104,25400
4,104,25600
4,104,25800
4,103,26000
4,103,26200
4,103,26400
4,103,26600
4,103,26800
4,102,27000
4,104,27200
4,104,27400
4,103,27600
4,103,27800
4,105,28000
4,117,28200
4,114,28400
4,460,28600
4,114,28800
4,114,29000
4,464,29200
4,116,29400
4,114,29600
4,114,29800
4,114,30000
4,115,30200
4,116,30400
4,117,30600
4,116,30800
4,117,31000
4,114,31200
4,114,31400
4,115,31600
4,114,31800
4,116,32000
4,103,32200
4,103,32400
4,106,32600
4,103,32800
4,105,33000
4,105,33200
4,103,33400
4,105,33600
4,104,33800
4,105,34000
4,105,34200
4,103,34400
4,104,34600
4,104,34800
4,105,35000
4,104,35200
4,106,35400
4,106,35600
4,103,35800
4,8,36000
3,3,36200
3,10,36400
3,7,36600
3,5,36800
3,7,37000
3,5,37200
3,214,37400
3,432,37600
3,639,37800
3,359,38000
3,213,38200
3,213,38400
3,1000,38600
3,212,38800
3,213,39000
3,214,39200
3,215,39400
3,213,39600
3,215,39800
3,212,40000
3,192,40200
3,319,40400
3,193,40600
3,192,40800
3,192,41000
3,194,41200
3,192,41400
3,387,41600
3,192,41800
3,192,42000
3,2530,42200
4,193,42400
4,152,42600
4,152,42800
4,153,43000
4,157,43200
4,157,43400
4,161,43600
4,162,43800
4,162,44000
4,173,44200
4,178,44400
4,178,44600
4,179,44800
4,181,45000
4,178,45200
4,178,45400
4,177,45600
4,179,45800
4,178,46000
4,176,46200
4,178,46400
4,179,46600
4,178,46800
4,179,47000
4,179,47200
4,179,47400
4,179,47600
4,179,47800
4,179,48000
4,239,48200
4,238,48400
4,239,48600
4,239,48800
4,239,49000
4,239,49200
4,239,49400
4,234,49600
4,239,49800
4,239,50000
4,239,50200
4,239,50400
4,240,50600
4,238,50800
4,239,51000
4,240,51200
4,240,51400
4,243,51600
4,240,51800
4,240,52000
4,210,52200
4,180,52400
4,180,52600
4,179,52800
4,179,53000
4,179,53200
4,180,53400
4,179,53600
4,179,53800
4,179,54000
4,179,54200
4,179,54400
4,179,54600
4,179,54800
4,179,55000
4,179,55200
4,179,55400
4,179,55600
4,179,55800
4,179,56000
4,209,56200
4,209,56400
4,209,56600
4,209,56800
4,209,57000
4,209,57200
4,209,57400
4,209,57600
4,209,57800
4,209,58000
4,209,58200
4,209,58400
4,209,58600
4,209,58800
4,209,59000
