1
1
Degree,Service_Time,Time
141,141,783
185,185,1869
185,184,2846
185,184,3161
185,141,3954
185,131,5289
185,131,6075
188,188,6767
188,133,7216
245,245,8437
245,182,8999
245,180,9626
245,234,10116
245,232,11175
245,195,11938
245,185,13264
245,186,14004
245,180,15230
245,179,16202
245,194,16538
245,180,16749
245,179,17917
245,111,18684
245,110,19313
245,175,19695
245,178,21025
245,177,21287
245,192,22610
245,106,22877
245,198,24212
245,174,24741
245,172,25943
245,172,26965
245,197,27423
245,195,27892
245,173,28659
245,172,29052
245,168,30108
245,167,30519
245,166,31161
245,148,32390
245,174,33163
245,171,33384
245,175,33703
245,175,34487
245,177,35624
245,148,36222
245,181,37546
245,185,38861
245,192,40231
245,152,40844
245,172,42170
245,193,42461
245,195,43641
245,194,44197
245,194,44670
245,195,44932
245,144,45902
245,196,46298
245,197,46979
245,175,47884
245,194,48609
245,194,49093
245,136,49620
245,194,50956
256,302,52061
256,303,52307
256,303,52636
256,1139,53749
256,302,54206
256,302,55330
256,302,56625
256,301,58007
256,1099,59152
256,1099,59366
256,1793,60133
256,1099,61367
256,299,62331
256,477,63374
256,301,64524
256,301,65811
256,301,66419
256,302,67495
256,302,68873
256,302,69261
256,303,69845
256,303,70648
256,301,71099
256,304,72453
256,302,73452
256,301,74384
256,301,75244
256,301,75920
256,300,76288
256,301,76627
256,301,77239
256,300,77665
256,301,78051
256,1100,79145
256,301,80484
256,301,81479
256,300,82649
256,300,83883
256,300,84861
256,1775,86128
256,1320,86529
256,301,87226
256,1671,88328
256,299,88645
256,1098,89337
256,301,90189
256,1101,90745
256,302,91846
256,1104,92726
256,303,93612
256,304,94053
256,1775,95318
256,305,95607
256,306,96651
256,305,97870
256,306,98110
256,304,99039
256,305,100070
256,305,100787
256,306,101884
256,304,103055
256,1093,103336
256,305,103811
256,1096,104320
256,302,104647
256,303,105414
256,303,105870
256,302,107167
256,1097,108120
256,302,108506
256,301,109671
256,301,109977
256,301,110860
256,301,112079
256,301,112503
256,301,113031
256,302,113702
256,301,114834
256,303,115063
256,303,115566
256,302,116185
256,302,116655
256,301,117023
256,1081,117731
256,302,119046
256,303,119586
256,1078,120335
256,1077,121531
256,305,122054
256,307,122472
256,1076,123717
256,307,124363
256,306,125214
256,1073,125535
256,303,126490
256,305,127469
256,306,128357
256,1074,128721
256,305,129949
256,304,130390
256,305,130940
256,1071,131933
256,308,132833
256,307,134067
256,307,135231
256,307,136355
256,308,137069
256,308,137856
256,1068,138712
256,309,139455
256,311,140546
256,311,140973
256,303,142338
256,312,143597
256,1203,144533
256,313,144965
256,1066,145716
256,314,146353
256,314,146581
256,313,147656
256,311,148863
256,302,150137
256,311,150458
256,1065,151116
256,1062,152511
256,313,152740
256,313,152977
256,312,154212
256,312,154605
256,312,155023
256,313,155651
256,312,156394
256,311,157605
256,309,158933
256,310,159862
256,309,160838
256,310,161042
256,1087,161285
256,310,161648
256,310,162861
256,310,163999
256,311,164405
256,311,164645
256,311,165749
256,311,166367
256,1046,167695
256,311,168183
256,310,169352
256,1688,170269
256,309,170786
256,310,171982
256,1043,172706
256,312,173449
256,298,173919
256,1043,175102
256,309,176192
256,1045,176691
256,1681,177063
256,307,177988
256,307,179032
256,309,179622
256,308,180127
256,1681,180866
256,306,181620
256,306,182406
256,1041,182675
256,307,183357
256,1042,184499
256,307,185163
256,307,186360
256,1695,187667
256,309,188422
256,309,188626
256,308,189974
256,309,190785
256,309,191407
256,309,191835
256,311,192934
256,1046,193677
256,310,194823
256,308,195391
256,308,195931
256,308,196753
256,1081,197864
256,1044,198674
256,1043,199279
256,1043,200080
256,306,200341
256,1042,201471
256,307,202149
256,1702,203254
256,308,203574
256,306,204910
256,306,205354
256,305,206580
256,296,207302
256,302,208167
256,1036,208675
256,1035,209491
256,301,209973
256,301,210631
256,300,211355
256,301,212392
256,1081,213054
256,1031,214078
256,1032,214878
256,299,215114
256,299,216366
256,1031,216865
256,1695,217644
256,297,218994
256,1031,219862
256,296,220133
256,295,220906
256,1655,221837
256,294,222718
256,1077,223048
256,294,223381
256,1027,224675
256,290,225935
256,291,227098
256,290,228097
256,1025,229478
256,289,230577
256,288,230973
256,288,231332
256,287,232105
256,288,232318
256,287,232986
256,287,234376
256,1015,234871
256,287,235997
256,1014,237063
256,287,237547
256,286,238287
256,359,238977
256,1001,240061
256,1064,240837
256,373,241379
256,373,241915
256,1626,242422
256,998,243267
256,1625,243623
256,372,244202
256,1624,244420
256,371,245507
256,372,245919
256,994,246267
256,994,246639
256,371,247298
256,372,247507
256,991,248843
256,991,249453
256,369,249995
256,370,251382
256,369,252188
256,370,252889
256,369,254002
256,369,255174
256,368,255495
256,368,255750
256,370,256369
256,370,256768
256,368,257889
256,369,258793
256,369,259732
256,369,260143
256,369,261083
256,370,261750
256,977,262855
256,371,263283
256,1627,264610
256,372,265160
256,373,265744
256,1626,266602
256,374,267522
256,374,268146
256,374,268368
256,969,269437
256,967,270233
256,376,270914
256,375,271144
256,965,272228
256,378,273320
256,378,273892
256,379,274964
256,963,275814
256,964,276039
256,965,276824
256,964,277446
256,380,278145
256,380,278985
256,963,280027
256,382,280925
256,964,281838
256,383,282736
256,382,283526
256,965,284650
256,965,285440
256,1024,285849
256,965,287030
256,1149,288049
256,382,288385
256,381,288717
256,381,289272
256,382,290266
256,382,290470
256,298,291449
256,967,292818
256,383,293891
256,382,294267
256,382,294917
256,381,295172
256,966,296432
256,380,296774
256,381,297753
256,965,299037
256,966,300030
256,965,301035
256,298,302056
256,965,302623
256,383,302927
256,383,303740
256,383,304301
256,298,305655
256,1604,305981
256,299,307240
256,1603,307984
256,1622,308386
256,1622,309388
256,381,310694
256,100,312078
256,100,312699
256,100,312941
256,100,313609
