400
320
Degree,Service_Time,Time
1,391,783
3,1373,1869
1,462,2846
1,689,3161
1,683,3954
3,1212,5289
1,390,6075
8,3426,6767
1,439,7216
8,4760,8437
1,440,8999
3,1333,9626
1,636,10116
3,1294,11175
4,1609,11938
1,467,13264
1,657,14004
4,1857,15230
3,1296,16202
5,2322,16538
1,417,16749
2,875,17917
1,730,18684
3,1348,19313
1,390,19695
1,669,21025
8,6090,21287
1,463,22610
1,375,22877
5,2375,24212
1,648,24741
2,948,25943
2,979,26965
2,983,27423
3,1583,27892
2,932,28659
1,423,29052
3,1384,30108
5,2016,30519
1,422,31161
2,1148,32390
4,1638,33163
1,518,33384
1,511,33703
1,415,34487
1,788,35624
3,1428,36222
8,3478,37546
1,454,38861
8,9688,40231
1,487,40844
6,2728,42170
4,1756,42461
1,559,43641
4,1917,44197
1,700,44670
5,2399,44932
1,428,45902
1,429,46298
3,1344,46979
2,982,47884
3,1566,48609
2,1008,49093
4,1750,49620
3,1585,50956
3,1343,52061
3,1247,52307
1,413,52636
1,479,53749
1,503,54206
1,479,55330
5,2178,56625
2,922,58007
5,73,59152
8,30,59366
8,26,60133
1,646,61367
1,532,62331
8,4075,63374
2,1007,64524
2,965,65811
3,1391,66419
3,1536,67495
8,3406,68873
1,645,69261
8,7563,69845
1,659,70648
1,532,71099
1,535,72453
2,948,73452
1,548,74384
4,1958,75244
3,1482,75920
8,5851,76288
1,641,76627
8,3394,77239
1,621,77665
1,548,78051
6,2565,79145
3,1398,80484
4,1757,81479
4,1751,82649
8,3751,83883
1,654,84861
1,587,86128
8,3777,86529
1,642,87226
4,1860,88328
1,589,88645
1,544,89337
7,3148,90189
2,1197,90745
5,2240,91846
2,1019,92726
4,1720,93612
3,1321,94053
8,6816,95318
1,642,95607
1,624,96651
1,574,97870
1,578,98110
1,581,99039
1,538,100070
1,578,100787
1,554,101884
4,1998,103055
2,1023,103336
3,1420,103811
2,960,104320
3,1385,104647
4,1729,105414
1,591,105870
1,551,107167
1,551,108120
3,1363,108506
2,891,109671
1,618,109977
3,1398,110860
8,5272,112079
1,644,112503
1,560,113031
1,531,113702
1,563,114834
1,559,115063
1,569,115566
1,538,116185
1,569,116655
8,4191,117023
1,644,117731
8,6501,119046
1,647,119586
1,576,120335
1,574,121531
1,579,122054
1,594,122472
8,4052,123717
1,635,124363
1,548,125214
3,1366,125535
1,686,126490
2,816,127469
3,1229,128357
1,705,128721
4,1893,129949
1,611,130390
1,560,130940
4,1686,131933
1,635,132833
8,4048,134067
1,647,135231
1,536,136355
1,674,137069
4,1889,137856
1,642,138712
1,547,139455
4,1934,140546
1,556,140973
6,2568,142338
1,633,143597
